,School,Date_announced,In_effect_from,Effective_until,Num_on_day,Precautions,,Src,Unnamed: 7
660,"State University of New York, Farmingdale",3/11/20,3/15/20,6/30/20,87,,,https://www.farmingdale.edu/health-wellness-center/coronavirus/index.shtml,
661,"State University of New York, Fredonia",3/11/20,3/11/20,6/30/20,88,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
662,"State University of New York, Geneseo",3/11/20,3/11/20,6/30/20,89,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
663,"State University of New York, New Paltz",3/11/20,3/11/20,6/30/20,90,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
664,"State University of New York, Oneonta",3/11/20,3/11/20,6/30/20,91,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
665,"State University of New York, Oswego",3/11/20,3/11/20,6/30/20,92,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
666,"State University of New York, Plattsburgh",3/11/20,3/11/20,6/30/20,93,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
667,"State University of New York, Potsdam",3/11/20,3/11/20,6/30/20,94,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
136,"State University System of Florida, ALL CAMPUSES",3/11/20,3/16/20,"March 30, FGC, FIU, FPU, and UF, April 6, remaining",95,,,,
133,Suffolk University,3/11/20,3/11/20,,96,"Virtual classes start March 18 for remainder of semester, students urged to leave",,,
134,Swarthmore College,3/11/20,03/15-04/05,,97,,,,
139,Temple University,3/11/20,3/13/20,Indefinitely,98,,,,
137,Texas A&M University - San Antonio,3/11/20,March 16-??,,99,,,,
139,The College of New Jersey,3/11/20,3/13/20,,100,"Online learning March 23 for 2 weeks, campus remains open",,,
141,Trinity College,3/11/20,3/23/20,,101,"Remote instruction March 23-April 3, students without permission to stay must depart by noon on March 16",,,
144,Truman State University,3/11/20,3/16/20,End of semester,102,extended,,,
145,University of Arizona,3/11/20,3/18/20,4/6/20,103,,,,
91,"University of Colorado, Boulder",3/11/20,3/13/20,End of semester,104,,,,
150,"University of Colorado, Colorado Springs",3/11/20,"March 11, 2020-April 14, 2020",,105,Remote learning March 30-April 13,,,
151,"University of Colorado, Denver",3/11/20,3/30/20,,106,"Classes to move online March 30, campus open",,,
154,University of Connecticut,3/11/20,3/23/20,4/6/20,107,,,,
155,"University of Connecticut, Stamford",3/11/20,3/16/20,6/30/20,108,,,,
153,University of Florida,3/11/20,"March 16, 2020-March 30, 2020",,109,"Online classes March 16-30, campus open",,,
133,University of Houston,3/11/20,3/16/20,Indefinitely,110,Class cancelled through March 20. Online beyond.,,,
289,"University of Illinois, Chicago",3/11/20,3/23/20,6/30/20,111,,,https://emails.uofi.uillinois.edu/newsletter/7412930.html,
290,"University of Illinois, Springfield",3/11/20,3/23/20,6/30/20,112,,,https://emails.uofi.uillinois.edu/newsletter/7412930.html,
291,"University of Illinois, Urbana-Champaign",3/11/20,3/23/20,6/30/20,113,,,https://emails.uofi.uillinois.edu/newsletter/7412930.html,
90,University of Iowa,3/11/20,3/23/20,4/3/20,114,,,,
140,University of Kansas,3/11/20,3/16/20,3/28/20,115,,,,
157,University of Kentucky,3/11/20,"March 23, 2020-April 6, 2020",,116,"Remote instruction March 23, 2020-April 3, 2020, residence halls to remain open",,,
111,University of Louisville,3/11/20,3/18/20,4/5/20,117,,,,
96,University of Massachusetts Amherst,3/11/20,3/11/20,4/3/20,118,,,,
95,University of Massachusetts Lowell,3/11/20,3/11/20,4/3/20,119,,,,
378,University of Massachusetts Medical School,3/11/20,3/12/20,6/30/20,120,,,https://www.massachusetts.edu/sites/default/files/documents/20.3.11%20COVID-19%20BOT%20FINAL.pdf,
379,University of Massachusetts School of Law,3/11/20,3/12/20,6/30/20,121,,,https://www.massachusetts.edu/sites/default/files/documents/20.3.11%20COVID-19%20BOT%20FINAL.pdf,
158,"University of Massachusetts, Boston",3/11/20,3/11/20,,122,"Classes cancelled March 11-13, move to remote classes after spring break",,,
113,University of Michigan,3/11/20,3/16/20,4/21/20,123,Class cancelled through 15th,,,
160,University of Minnesota,3/11/20,3/13/20,,124,"Remote learning starts March 18, campus remains open",,,
453,"University of Minnesota, Crookston",3/11/20,3/16/20,5/8/20,125,,,https://www.crk.umn.edu/coronavirus,
454,"University of Minnesota, Duluth",3/11/20,3/16/20,5/8/20,126,,,https://www.d.umn.edu/coronavirus/,
455,"University of Minnesota, Morris",3/11/20,3/18/20,5/15/20,127,,,https://morris.umn.edu/covid-19-updates/covid-19-umn-morris,
456,"University of Minnesota, Rochester",3/11/20,3/16/20,5/13/20,128,,,https://safe-campus.umn.edu/public-health-alerts,
457,"University of Minnesota, Twin Cities",3/11/20,3/18/20,5/13/20,129,,,https://safe-campus.umn.edu/public-health-alerts,
126,University of Missouri - Columbia,3/11/20,3/11/20,3/30/20,130,,,,
161,University of New Orleans,3/11/20,3/16/20,,131,"Courses to be delivered remotely, students can remain on campus",,,
528,"University of North Carolina, Asheville",3/11/20,3/11/20,6/30/20,132,,,,
529,"University of North Carolina, Chapel Hill",3/11/20,3/11/20,6/30/20,133,,,,
530,"University of North Carolina, Charlotte",3/11/20,3/11/20,6/30/20,134,,,,
531,"University of North Carolina, Greensboro",3/11/20,3/11/20,6/30/20,135,,,,
532,"University of North Carolina, Pembroke",3/11/20,3/11/20,6/30/20,136,,,,
533,"University of North Carolina, Wilmington",3/11/20,3/11/20,6/30/20,137,,,,
534,University of North Carolina School of the Arts,3/11/20,3/11/20,6/30/20,138,,,,
99,University of Notre Dame,3/11/20,3/16/20,4/3/20,139,"No class week of March 16, online begins March 23",,,
119,University of Oregon,3/11/20,3/15/20,4/21/20,140,,,,
116,University of Rhode Island,3/11/20,3/16/20,4/3/20,141,,,,
165,University of Richmond,3/11/20,3/11/20,,142,"Remote instruction begins March 23, students must leave by March 13, 5 p.m.",,,
166,University of Rochester,3/11/20,3/11/20,,143,"Spring break extended to March 18, remote instruction for rest of semester, campus services open",,,
127,"University of Tennessee, ALL CAMPUSES",3/11/20,3/23/20,4/3/20,144,,,,
167,University of Texas,3/11/20,3/11/20,,145,"Spring break extended by 1 week, in-person classes resume March 30",,,
168,University of Texas at San Antonio,3/11/20,March 16-end of spring term,,146,,,,
130,University of Texas-Austin,3/11/20,3/16/20,3/29/20,147,Spring break extended,,,
129,"University of Texas, Austin",3/11/20,3/16/20,4/3/20,148,Spring break extended,,,
109,University of the Cumberlands,3/11/20,3/16/20,3/27/20,149,,,,
170,University of Vermont,3/11/20,3/16/20,,150,"Classes cancelled March 16-17, remote learning starts March 18, campus remains open",,,
97,University of Virginia,3/11/20,3/19/20,4/3/20,151,,,,
172,University of Wisconsin,3/11/20,"March 30, 2020-April 13, 2020",,152,"Remote learning March 30-April 10, will accommodate students who need to remain on campus",,,
149,"University of Wisconsin, Green Bay",3/11/20,3/23/20,End of semester,153,,,,
107,"University of Wisconsin, La Crosse",3/11/20,3/12/20,4/10/20,154,Cancelled through March 27,,,
104,"University of Wisconsin, Madison",3/11/20,3/23/20,4/10/20,155,Spring break currently,,,
150,"University of Wisconsin, Oshkosh",3/11/20,3/16/20,Indefinitely,156,,,,
173,Villanova University,3/11/20,3/13/20,,157,"Remote instruction starts March 16, campus remains open, campus events cancelled",,,
174,Virginia Commonwealth University,3/11/20,3/16/20,,158,"Spring break extended March 16-20, remote instruction begins March 23",,,
115,Virginia Tech,3/11/20,3/23/20,End of semester,159,,,,
112,Washington State University,3/11/20,3/23/20,Indefinitely,160,,,,
177,Wayne State University,3/11/20,3/11/20,,161,"Classes cancelled until March 23, remote learning information to follow, campus remains open",,,
180,Western Kentucky University,3/11/20,"March 23, 2020-April 5, 2020",,162,"Spring break extended to March 22, online learning March 23-April 5",,,
123,Western Michigan University,3/11/20,3/11/20,4/3/20,163,,,,
117,Wheaton College,3/11/20,3/23/20,End of semester,164,,,,
184,Williams College,3/11/20,3/13/20,,165,"Classes suspended after March 13, remote learning starts April 6, students must leave by 5 p.m. on March 17",,,
570,Adirondack Community College,3/11/20,3/11/20,6/30/20,166,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
571,Alfred State College,3/11/20,3/11/20,6/30/20,167,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
40,"Arizona State University, Downtown Phoenix",3/11/20,3/16/20,6/30/20,168,,,https://eoss.asu.edu/health/announcements/coronavirus,
41,"Arizona State University, Polytechnic",3/11/20,3/16/20,6/30/20,169,,,https://eoss.asu.edu/health/announcements/coronavirus,
42,"Arizona State University, Tempe",3/11/20,3/16/20,6/30/20,170,,,https://eoss.asu.edu/health/announcements/coronavirus,
43,"Arizona State University, West",3/11/20,3/16/20,6/30/20,171,,,https://eoss.asu.edu/health/announcements/coronavirus,
573,Baruch College,3/11/20,3/19/20,6/30/20,172,,,https://www.cuny.edu/coronavirus/#university-updates,
574,Binghamton University,3/11/20,3/11/20,6/30/20,173,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
575,Bronx Community College,3/11/20,3/19/20,6/30/20,174,,,https://www.cuny.edu/coronavirus/#university-updates,
576,Brooklyn College,3/11/20,3/19/20,6/30/20,175,,,https://www.cuny.edu/coronavirus/#university-updates,
577,Broome Community College,3/11/20,3/11/20,6/30/20,176,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
578,Buffalo State College,3/11/20,3/11/20,6/30/20,177,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
579,Cayuga Community College,3/11/20,3/11/20,6/30/20,178,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
581,City of New York Graduate Center,3/11/20,3/19/20,6/30/20,179,,,https://www.cuny.edu/coronavirus/#university-updates,
591,College of Staten Island,3/11/20,3/19/20,6/30/20,20,Vacate dorms,,https://www.cuny.edu/coronavirus/#university-updates,
593,Columbia-Greene Community College,3/11/20,3/11/20,6/30/20,181,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
595,Corning Community College,3/11/20,3/11/20,6/30/20,182,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
596,Dutchess Community College,3/11/20,3/11/20,6/30/20,183,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
597,Empire State College,3/11/20,3/11/20,6/30/20,184,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
598,Erie Community College,3/11/20,3/11/20,6/30/20,185,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
599,Fashion Institute of Technology,3/11/20,3/11/20,6/30/20,186,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
600,Finger Lakes Community College,3/11/20,3/11/20,6/30/20,187,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
602,Fulton-Montgomery Community College,3/11/20,3/11/20,6/30/20,188,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
603,Genesee Community College,3/11/20,3/11/20,6/30/20,189,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
604,Guttman Community College,3/11/20,3/19/20,6/30/20,190,,,https://www.cuny.edu/coronavirus/#university-updates,
607,Herkimer County Community College,3/11/20,3/11/20,6/30/20,191,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
611,Hostos Community College,3/11/20,3/19/20,6/30/20,192,,,https://www.cuny.edu/coronavirus/#university-updates,
612,Hudson Valley Community College,3/11/20,3/11/20,6/30/20,193,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
613,Hunter College,3/11/20,3/19/20,6/30/20,21,Vacate dorms,,https://www.cuny.edu/coronavirus/#university-updates,
616,Jamestown Community College,3/11/20,3/11/20,6/30/20,195,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
617,Jefferson Community College,3/11/20,3/11/20,6/30/20,196,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
619,Kingsborough Community College,3/11/20,3/19/20,6/30/20,197,,,https://www.cuny.edu/coronavirus/#university-updates,
620,LaGuardia Community Church,3/11/20,3/19/20,6/30/20,198,,,https://www.cuny.edu/coronavirus/#university-updates,
621,Lehman College,3/11/20,3/19/20,6/30/20,199,,,https://www.cuny.edu/coronavirus/#university-updates,
623,Macaulay Honors College,3/11/20,3/19/20,6/30/20,200,,,https://www.cuny.edu/coronavirus/#university-updates,
625,Manhattan Community College,3/11/20,3/19/20,6/30/20,201,,,https://www.cuny.edu/coronavirus/#university-updates,
627,Medgar Evers College,3/11/20,3/19/20,6/30/20,202,,,https://www.cuny.edu/coronavirus/#university-updates,
629,Mohawk Valley Community College,3/11/20,3/11/20,6/30/20,203,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
631,Monroe Community College,3/11/20,3/11/20,6/30/20,204,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
632,Morrisville State College,3/11/20,3/11/20,6/30/20,205,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
633,Nassau Community College,3/11/20,3/11/20,6/30/20,206,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
635,New York City College of Technology,3/11/20,3/19/20,6/30/20,207,,,https://www.cuny.edu/coronavirus/#university-updates,
638,Niagara County Community College,3/11/20,3/11/20,6/30/20,208,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
639,North Country Community College,3/11/20,3/11/20,6/30/20,209,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
640,Onondaga Community College,3/11/20,3/11/20,6/30/20,210,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
641,Orange County Community College,3/11/20,3/11/20,6/30/20,211,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
644,Purchase College,3/11/20,3/11/20,6/30/20,212,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
645,Queens College,3/11/20,3/19/20,6/30/20,213,,,https://www.cuny.edu/coronavirus/#university-updates,
646,Queensborough Community College,3/11/20,3/19/20,6/30/20,214,,,https://www.cuny.edu/coronavirus/#university-updates,
649,Rockland Community College,3/11/20,3/11/20,6/30/20,215,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
651,Schenectady County Community College,3/11/20,3/11/20,6/30/20,216,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
668,State University of New York Maritime College,3/11/20,3/11/20,6/30/20,217,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
670,Suffolk County Community College,3/11/20,3/11/20,6/30/20,218,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
671,Sullivan County Community College,3/11/20,3/11/20,6/30/20,219,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
677,The City College,3/11/20,3/19/20,6/30/20,22,Vacate dorms,,https://www.cuny.edu/coronavirus/#university-updates,
678,The College at Old Westbury,3/11/20,3/11/20,6/30/20,221,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
679,The College of Brockport,3/11/20,3/11/20,6/30/20,222,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
682,Tompkins Cortland Community College,3/11/20,3/11/20,6/30/20,223,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
683,Ulster County Community College,3/11/20,3/11/20,6/30/20,224,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
685,University at Albany,3/11/20,3/11/20,6/30/20,225,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
686,University at Buffalo,3/11/20,3/11/20,6/30/20,226,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
689,Upstate Medical University,3/11/20,3/11/20,6/30/20,227,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
692,Westchester Community College,3/11/20,3/11/20,6/30/20,228,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
694,York College,3/11/20,3/19/20,6/30/20,229,,,https://www.cuny.edu/coronavirus/#university-updates,
737,Allegheny College,3/11/20,3/11/20,5/5/20,230,,,https://sites.allegheny.edu/emergency/coronavirus/,
794,Anderson University,3/11/20,3/16/20,6/30/20,231,,,https://www.andersonuniversity.edu/thrive-wellness/covid-19/updates/changes-to-operations,
937,Beloit College,3/11/20,3/11/20,3/30/20,232,,,https://www.beloit.edu/offices/health-wellness-center/covid-19-information/,
336,Brescia University,3/11/20,3/16/20,4/14/20,233,,,https://www.brescia.edu/2020/03/brescia-university-response-to-covid-19/,
299,Butler University,3/11/20,3/12/20,4/4/20,234,,,https://www.indystar.com/story/news/education/2020/03/11/coronavirus-indiana-colleges-universities-respond/5021722002/,
52,"California State Polytechnic University, Pomona",3/11/20,3/18/20,5/15/20,235,,,https://www.cpp.edu/safety/coronavirus/index.shtml,
55,"California State University, Channel Islands",3/11/20,3/23/20,3/23/20,236,,,https://www.csuci.edu/news/campus-updates/covid0311.htm,
66,"California State University, San Marcos",3/11/20,3/16/20,4/30/20,237,,,https://www.csusm.edu/incident/,
411,Calvin University,3/11/20,3/13/20,4/14/20,238,,,https://www.wzzm13.com/article/news/health/coronavirus/michigan-schools-online-classes-coronavirus/69-1c0fd585-92df-4a6c-a833-48b5823967da,
938,Cardinal Stritch University,3/11/20,3/16/20,3/31/20,239,,,https://www.stritch.edu/covid-19,
742,Carlow University,3/11/20,3/12/20,5/8/20,240,,,https://www.carlow.edu/coronavirus_03-11-2020_2/#,
162,Catholic University of America,3/11/20,3/16/20,3/30/20,241,,,https://communications.catholic.edu/coronavirus/index.html,
136,Central Connecticut State University,3/11/20,3/15/20,4/5/20,242,,,https://www.wfsb.com/news/all-public-schools-closed-two-weeks-due-to-coronavirus/article_08315942-63a9-11ea-8a8d-fbf599c94a44.html,
840,Central Texas Technology Center,3/11/20,3/16/20,6/30/20,243,,,https://www.alamo.edu/news--events/news/2020/03---march/2019-novel-coronavirus-covid-19-update-3-11-20/,
877,Champlain College,3/11/20,3/11/20,4/6/20,244,,,https://view.champlain.edu/2020/03/11/updates-on-the-coronavirus-covid-19/,
68,Chapman University,3/11/20,3/12/20,6/30/20,245,,,https://blogs.chapman.edu/public-safety/2020/03/11/march-11-classes-move-online-march-12/,
73,East Los Angeles College,3/11/20,3/16/20,6/30/20,246,,,https://www.laccd.edu/Documents/NewsDocuments/Coronavirus%20Update%20to%20LACCD%20Community%20March%2011%202020%20Final.pdf,
138,Eastern Connecticut State University,3/11/20,3/15/20,4/5/20,247,,,https://www.notion.so/covid19schools/Eastern-Connecticut-State-University-ef05f88bbbfd457697b8917c0be50d40,
171,Florida Agricultural and Mechanical University,3/11/20,3/14/20,5/1/20,248,,,https://www.flbog.edu/2020/03/11/state-university-system-statement-on-covid-19/,
172,Florida Atlantic University,3/11/20,3/11/20,5/6/20,249,,,https://www.flbog.edu/2020/03/11/state-university-system-statement-on-covid-19/,
173,Florida Gulf Coast University,3/11/20,3/12/20,5/2/20,250,,,https://www.flbog.edu/2020/03/11/state-university-system-statement-on-covid-19/,
175,Florida International University,3/11/20,3/12/20,4/25/20,251,,,https://www.flbog.edu/2020/03/11/state-university-system-statement-on-covid-19/,
176,Florida Polytechnic University,3/11/20,3/16/20,5/1/20,252,,,https://www.flbog.edu/2020/03/11/state-university-system-statement-on-covid-19/,
140,Gateway Community College,3/11/20,3/15/20,4/5/20,253,,,https://www.notion.so/covid19schools/Eastern-Connecticut-State-University-ef05f88bbbfd457697b8917c0be50d40,
141,Housatonic Community College,3/11/20,3/15/20,4/5/20,254,,,https://www.notion.so/covid19schools/Eastern-Connecticut-State-University-ef05f88bbbfd457697b8917c0be50d40,
79,Los Angeles City College,3/11/20,3/16/20,6/30/20,255,,,https://www.laccd.edu/Documents/NewsDocuments/Coronavirus%20Update%20to%20LACCD%20Community%20March%2011%202020%20Final.pdf,
80,Los Angeles Harbor College,3/11/20,3/16/20,6/30/20,256,,,https://www.laccd.edu/Documents/NewsDocuments/Coronavirus%20Update%20to%20LACCD%20Community%20March%2011%202020%20Final.pdf,
81,Los Angeles Mission College,3/11/20,3/16/20,6/30/20,257,,,https://www.laccd.edu/Documents/NewsDocuments/Coronavirus%20Update%20to%20LACCD%20Community%20March%2011%202020%20Final.pdf,
82,Los Angeles Pierce College,3/11/20,3/16/20,6/30/20,258,,,https://www.laccd.edu/Documents/NewsDocuments/Coronavirus%20Update%20to%20LACCD%20Community%20March%2011%202020%20Final.pdf,
83,Los Angeles Southwest College,3/11/20,3/16/20,6/30/20,259,,,https://www.laccd.edu/Documents/NewsDocuments/Coronavirus%20Update%20to%20LACCD%20Community%20March%2011%202020%20Final.pdf,
84,Los Angeles Trade-Technical College,3/11/20,3/16/20,6/30/20,260,,,https://www.laccd.edu/Documents/NewsDocuments/Coronavirus%20Update%20to%20LACCD%20Community%20March%2011%202020%20Final.pdf,
85,Los Angeles Valley College,3/11/20,3/16/20,6/30/20,261,,,https://www.laccd.edu/Documents/NewsDocuments/Coronavirus%20Update%20to%20LACCD%20Community%20March%2011%202020%20Final.pdf,
142,Manchester Community College,3/11/20,3/15/20,4/5/20,262,,,https://www.notion.so/covid19schools/Eastern-Connecticut-State-University-ef05f88bbbfd457697b8917c0be50d40,
143,Middlesex Community College,3/11/20,3/15/20,4/5/20,263,,,https://www.notion.so/covid19schools/Eastern-Connecticut-State-University-ef05f88bbbfd457697b8917c0be50d40,
144,Naugatuck Valley Community College,3/11/20,3/15/20,4/5/20,264,,,https://www.notion.so/covid19schools/Eastern-Connecticut-State-University-ef05f88bbbfd457697b8917c0be50d40,
178,New College of Florida,3/11/20,3/14/20,5/15/20,265,,,https://www.flbog.edu/2020/03/11/state-university-system-statement-on-covid-19/,
843,Northeast Lakeview College,3/11/20,3/16/20,6/30/20,266,,,https://www.alamo.edu/news--events/news/2020/03---march/2019-novel-coronavirus-covid-19-update-3-11-20/,
844,Northwest Vista College,3/11/20,3/16/20,6/30/20,267,,,https://www.alamo.edu/news--events/news/2020/03---march/2019-novel-coronavirus-covid-19-update-3-11-20/,
145,Northwestern Connecticut Community College,3/11/20,3/15/20,4/5/20,268,,,https://www.notion.so/covid19schools/Eastern-Connecticut-State-University-ef05f88bbbfd457697b8917c0be50d40,
146,Norwalk Community College,3/11/20,3/15/20,4/5/20,269,,,https://www.notion.so/covid19schools/Eastern-Connecticut-State-University-ef05f88bbbfd457697b8917c0be50d40,
845,Palo Alto College,3/11/20,3/16/20,6/30/20,270,,,https://www.alamo.edu/news--events/news/2020/03---march/2019-novel-coronavirus-covid-19-update-3-11-20/,
147,Quinebaug Valley Community College,3/11/20,3/15/20,4/5/20,271,,,https://www.notion.so/covid19schools/Eastern-Connecticut-State-University-ef05f88bbbfd457697b8917c0be50d40,
848,San Antonio College,3/11/20,3/16/20,6/30/20,272,,,https://www.alamo.edu/news--events/news/2020/03---march/2019-novel-coronavirus-covid-19-update-3-11-20/,
852,St. Philip's College,3/11/20,3/16/20,6/30/20,273,,,https://www.alamo.edu/news--events/news/2020/03---march/2019-novel-coronavirus-covid-19-update-3-11-20/,
151,Three Rivers Community College,3/11/20,3/15/20,4/5/20,274,,,https://www.notion.so/covid19schools/Eastern-Connecticut-State-University-ef05f88bbbfd457697b8917c0be50d40,
153,Tunxis Community College,3/11/20,3/15/20,4/5/20,275,,,https://www.notion.so/covid19schools/Eastern-Connecticut-State-University-ef05f88bbbfd457697b8917c0be50d40,
181,University of Central Florida,3/11/20,3/11/20,4/28/20,276,,,https://www.flbog.edu/2020/03/11/state-university-system-statement-on-covid-19/,
184,University of North Florida,3/11/20,3/15/20,5/1/20,277,,,https://www.flbog.edu/2020/03/11/state-university-system-statement-on-covid-19/,
809,"University of South Carolina, Aiken",3/11/20,3/22/20,3/31/20,278,,,https://sc.edu/safety/coronavirus/,
810,"University of South Carolina, Beaufort",3/11/20,3/22/20,3/31/20,279,,,https://sc.edu/safety/coronavirus/,
811,"University of South Carolina, Columbia",3/11/20,3/22/20,3/31/20,280,,,https://sc.edu/safety/coronavirus/,
812,"University of South Carolina, Lancaster",3/11/20,3/22/20,3/31/20,281,,,https://sc.edu/safety/coronavirus/,
813,"University of South Carolina, Salkehatchie",3/11/20,3/22/20,3/31/20,282,,,https://sc.edu/safety/coronavirus/,
814,"University of South Carolina, Sumter",3/11/20,3/22/20,3/31/20,283,,,https://sc.edu/safety/coronavirus/,
815,"University of South Carolina, Union",3/11/20,3/22/20,3/31/20,284,,,https://sc.edu/safety/coronavirus/,
816,"University of South Carolina, Upstate",3/11/20,3/22/20,3/31/20,285,,,https://sc.edu/safety/coronavirus/,
185,"University of South Florida, Sarasota-Manatee",3/11/20,3/15/20,5/7/20,286,,,https://www.usf.edu/coronavirus/index.aspx,
186,"University of South Florida, St. Petersburg",3/11/20,3/15/20,5/7/20,287,,,https://www.usf.edu/coronavirus/index.aspx,
187,"University of South Florida, Tampa",3/11/20,3/15/20,5/7/20,288,,,https://www.usf.edu/coronavirus/index.aspx,
832,"University of Tennessee, Chattanooga",3/11/20,3/11/20,3/30/20,289,,,https://tennessee.edu/coronavirus/,
833,"University of Tennessee, Knoxville",3/11/20,3/11/20,4/3/20,290,,,https://tennessee.edu/coronavirus/,
834,"University of Tennessee, Martin",3/11/20,3/11/20,4/3/20,291,,,https://tennessee.edu/coronavirus/,
835,University of Tennessee Health Science Center,3/11/20,3/11/20,3/30/20,292,,,https://tennessee.edu/coronavirus/,
836,University of Tennessee Space Institute,3/11/20,3/11/20,3/30/20,293,,,https://tennessee.edu/coronavirus/,
189,University of West Florida,3/11/20,3/11/20,5/2/20,294,,,https://www.flbog.edu/2020/03/11/state-university-system-statement-on-covid-19/,
930,"Washington State University, Everett",3/11/20,3/11/20,6/30/20,295,,,https://wsu.edu/covid-19/2020/03/11/wsu-to-move-in-person-classes-to-online-formats-following-spring-break/,
931,"Washington State University, Pullman",3/11/20,3/11/20,6/30/20,296,,,https://wsu.edu/covid-19/2020/03/11/wsu-to-move-in-person-classes-to-online-formats-following-spring-break/,
932,"Washington State University, Spokane",3/11/20,3/11/20,6/30/20,297,,,https://wsu.edu/covid-19/2020/03/11/wsu-to-move-in-person-classes-to-online-formats-following-spring-break/,
933,"Washington State University, Tri-Cities",3/11/20,3/11/20,6/30/20,298,,,https://wsu.edu/covid-19/2020/03/11/wsu-to-move-in-person-classes-to-online-formats-following-spring-break/,
934,"Washington State University, Vancouver",3/11/20,3/11/20,6/30/20,299,,,https://wsu.edu/covid-19/2020/03/11/wsu-to-move-in-person-classes-to-online-formats-following-spring-break/,
477,"Washington University, Danforth",3/11/20,3/11/20,4/30/20,300,,,https://emergency.wustl.edu/wp-content/uploads/2020/03/March-11-message-from-chancellor.pdf,
117,West Los Angeles College,3/11/20,3/16/20,6/30/20,301,,,https://www.laccd.edu/Documents/NewsDocuments/Coronavirus%20Update%20to%20LACCD%20Community%20March%2011%202020%20Final.pdf,
159,Western Connecticut State University,3/11/20,3/15/20,4/5/20,302,,,https://www.notion.so/covid19schools/Eastern-Connecticut-State-University-ef05f88bbbfd457697b8917c0be50d40,
797,Coastal Carolina University,3/11/20,3/11/20,3/22/20,303,,,https://www.coastal.edu/coastal-now/news/advisory/,
238,Coe College,3/11/20,3/14/20,3/29/20,304,,,https://www.kcrg.com/content/news/Coe-College-extends-spring-break-by-one-week-in-response-to-COVID-19-concerns-568723921.html,
363,College of the Holy Cross,3/11/20,3/13/20,6/30/20,305,,,https://www.holycross.edu/2019-novel-coronavirus-covid-19-information,
883,College of William & Mary,3/11/20,3/11/20,4/3/20,306,,,https://www.wm.edu/about/administration/emergency/current_issues/coronavirus/,
